Time [s],Joint1 [rad],Joint2 [rad],Joint3 [rad],Joint4 [rad],Joint5 [rad],Joint6 [rad],VelJ1 [rad/s],VelJ2 [rad/s],VelJ3 [rad/s],VelJ4 [rad/s],VelJ5 [rad/s],VelJ6 [rad/s]
1.1,0.212767,0.243928,0.247694,-0.000017688,0.00376603,0.00100754,0.385,0.00000159036,0.00000113046,-0.0000000820989,-0.000000437416,-0.00000004627
1.2,0.253017,0.243928,0.247694,-0.0000176965,0.00376599,0.00100753,0.42,0.00000173493,0.00000123323,-0.0000000895624,-0.000000477181,-0.0000000504764
1.3,0.296767,0.243928,0.247694,-0.0000177059,0.00376594,0.00100753,0.455,0.00000187951,0.00000133599,-0.0000000970259,-0.000000516946,-0.0000000546827
1.4,0.344017,0.243928,0.247694,-0.0000177159,0.00376588,0.00100752,0.49,0.00000202409,0.00000143876,-0.000000104489,-0.000000556711,-0.0000000588891
1.5,0.394767,0.243929,0.247694,-0.0000177268,0.00376583,0.00100751,0.525,0.00000216867,0.00000154153,-0.000000111953,-0.000000596476,-0.0000000630955
1.6,0.449017,0.243929,0.247695,-0.0000177383,0.00376576,0.00100751,0.56,0.00000231325,0.0000016443,-0.000000119417,-0.000000636242,-0.0000000673018
1.7,0.506767,0.243929,0.247695,-0.0000177507,0.0037657,0.0010075,0.595,0.00000245782,0.00000174707,-0.00000012688,-0.000000676007,-0.0000000715082
1.8,0.568017,0.243929,0.247695,-0.0000177637,0.00376563,0.00100749,0.63,0.0000026024,0.00000184984,-0.000000134344,-0.000000715772,-0.0000000757146
1.9,0.632767,0.24393,0.247695,-0.0000177775,0.00376556,0.00100749,0.665,0.00000274698,0.00000195261,-0.000000141807,-0.000000755537,-0.0000000799209
2,0.701017,0.24393,0.247695,-0.0000177921,0.00376548,0.00100748,0.7,0.00000289156,0.00000205538,-0.000000149271,-0.000000795302,-0.0000000841273
2.1,0.772767,0.24393,0.247696,-0.0000178074,0.0037654,0.00100747,0.735,0.00000303613,0.00000215815,-0.000000156734,-0.000000835067,-0.0000000883337
2.2,0.845691,0.243931,0.247696,-0.0000178229,0.00376531,0.00100746,0.712941,0.00000294501,0.00000209338,-0.00000015203,-0.000000810005,-0.0000000856826
2.3,0.915235,0.243931,0.247696,-0.0000178378,0.00376523,0.00100745,0.677941,0.00000280044,0.00000199061,-0.000000144567,-0.00000077024,-0.0000000814762
2.4,0.981279,0.243931,0.247696,-0.0000178518,0.00376516,0.00100744,0.642941,0.00000265586,0.00000188784,-0.000000137103,-0.000000730475,-0.0000000772699
2.5,1.04382,0.243931,0.247696,-0.0000178652,0.00376509,0.00100744,0.607941,0.00000251128,0.00000178507,-0.00000012964,-0.00000069071,-0.0000000730635
2.6,1.10287,0.243932,0.247697,-0.0000178778,0.00376502,0.00100743,0.572941,0.0000023667,0.0000016823,-0.000000122176,-0.000000650945,-0.0000000688571
2.7,1.15841,0.243932,0.247697,-0.0000178896,0.00376496,0.00100742,0.537941,0.00000222213,0.00000157953,-0.000000114713,-0.00000061118,-0.0000000646508
2.8,1.21046,0.243932,0.247697,-0.0000179007,0.0037649,0.00100742,0.502941,0.00000207755,0.00000147676,-0.000000107249,-0.000000571415,-0.0000000604444
2.9,1.259,0.243932,0.247697,-0.0000179111,0.00376484,0.00100741,0.467941,0.00000193297,0.00000137399,-0.0000000997856,-0.000000531649,-0.000000056238
3,1.30404,0.243932,0.247697,-0.0000179207,0.00376479,0.00100741,0.432941,0.00000178839,0.00000127122,-0.000000092322,-0.000000491884,-0.0000000520317
3.1,1.34559,0.243933,0.247697,-0.0000179295,0.00376475,0.0010074,0.397941,0.00000164381,0.00000116846,-0.0000000848585,-0.000000452119,-0.0000000478253
3.2,1.38363,0.243933,0.247697,-0.0000179376,0.0037647,0.0010074,0.362941,0.00000149924,0.00000106569,-0.000000077395,-0.000000412354,-0.000000043619
3.3,1.41818,0.243933,0.247697,-0.000017945,0.00376466,0.00100739,0.327941,0.00000135466,0.000000962918,-0.0000000699314,-0.000000372589,-0.0000000394126
3.4,1.44922,0.243933,0.247698,-0.0000179516,0.00376463,0.00100739,0.292941,0.00000121008,0.00000086015,-0.0000000624679,-0.000000332824,-0.0000000352062
3.5,1.47676,0.243933,0.247698,-0.0000179575,0.0037646,0.00100738,0.257941,0.0000010655,0.000000757381,-0.0000000550044,-0.000000293059,-0.0000000309999
3.6,1.50081,0.243933,0.247698,-0.0000179626,0.00376457,0.00100738,0.222941,0.000000920925,0.000000654612,-0.0000000475408,-0.000000253294,-0.0000000267935
3.7,1.52135,0.243933,0.247698,-0.000017967,0.00376455,0.00100738,0.187941,0.000000776347,0.000000551843,-0.0000000400773,-0.000000213529,-0.0000000225871
3.8,1.5384,0.243933,0.247698,-0.0000179706,0.00376453,0.00100738,0.152941,0.000000631769,0.000000449074,-0.0000000326138,-0.000000173764,-0.0000000183808
3.9,1.55194,0.243933,0.247698,-0.0000179735,0.00376451,0.00100738,0.117941,0.000000487191,0.000000346305,-0.0000000251502,-0.000000133998,-0.0000000141744
4,1.56199,0.243933,0.247698,-0.0000179757,0.0037645,0.00100737,0.0829413,0.000000342614,0.000000243537,-0.0000000176867,-0.0000000942334,-0.00000000996804
4.1,1.56853,0.243934,0.247698,-0.0000179771,0.00376449,0.00100737,0.0479413,0.000000198036,0.000000140768,-0.0000000102232,-0.0000000544683,-0.00000000576167
4.2,1.57157,0.243934,0.247698,-0.0000179777,0.00376449,0.00100737,0.0129413,0.0000000534579,0.0000000379989,-0.00000000275965,-0.0000000147032,-0.00000000155531
4.23698,1.57181,0.243934,0.247698,-0.0000179778,0.00376449,0.00100737,0,0,0,0,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
0,1.57181,0.243934,0.247698,-0.0000179778,0.00376449,0.00100737,0,0,0,0,0,0
0.1,1.57181,0.242184,0.247652,-0.0000179773,0.00546885,0.00100574,-0.000032912,-0.035,-0.000912761,0.00000000970537,0.0340872,-0.0000326591
0.2,1.57181,0.236934,0.247515,-0.0000179758,0.0105819,0.00100084,-0.000065824,-0.07,-0.00182552,0.0000000194107,0.0681745,-0.0000653181
0.3,1.5718,0.228184,0.247287,-0.0000179734,0.0191037,0.000992677,-0.000098736,-0.105,-0.00273828,0.0000000291161,0.102262,-0.0000979772
0.4,1.57179,0.215934,0.246968,-0.00001797,0.0310343,0.000981246,-0.000131648,-0.14,-0.00365105,0.0000000388215,0.136349,-0.000130636
0.5,1.57177,0.200184,0.246557,-0.0000179656,0.0463735,0.000966549,-0.00016456,-0.175,-0.00456381,0.0000000485269,0.170436,-0.000163295
0.6,1.57175,0.180934,0.246055,-0.0000179603,0.0651215,0.000948587,-0.000197472,-0.21,-0.00547657,0.0000000582322,0.204523,-0.000195954
0.7,1.57173,0.158184,0.245462,-0.000017954,0.0872782,0.000927359,-0.000230384,-0.245,-0.00638933,0.0000000679376,0.238611,-0.000228613
0.8,1.57171,0.131934,0.244777,-0.0000179467,0.112844,0.000902864,-0.000263296,-0.28,-0.00730209,0.000000077643,0.272698,-0.000261273
0.9,1.57168,0.102203,0.244002,-0.0000179385,0.141799,0.000875122,-0.00029136,-0.309844,-0.0080804,0.0000000859187,0.301764,-0.000289121
1,1.57165,0.0729681,0.243239,-0.0000179304,0.170271,0.000847843,-0.000258448,-0.274844,-0.00716763,0.0000000762133,0.267677,-0.000256462
1.1,1.57163,0.0472337,0.242568,-0.0000179232,0.195335,0.00082383,-0.000225536,-0.239844,-0.00625487,0.0000000665079,0.233589,-0.000223803
1.2,1.57161,0.0249992,0.241988,-0.0000179171,0.216989,0.000803082,-0.000192624,-0.204844,-0.00534211,0.0000000568025,0.199502,-0.000191143
1.3,1.57159,0.00626483,0.2415,-0.0000179119,0.235235,0.000785601,-0.000159712,-0.169844,-0.00442935,0.0000000470972,0.165415,-0.000158484
1.4,1.57158,-0.0089696,0.241102,-0.0000179076,0.250072,0.000771385,-0.0001268,-0.134844,-0.00351659,0.0000000373918,0.131328,-0.000125825
1.5,1.57156,-0.020704,0.240796,-0.0000179044,0.261501,0.000760436,-0.0000938878,-0.0998442,-0.00260383,0.0000000276864,0.0972404,-0.0000931663
1.6,1.57156,-0.0289384,0.240582,-0.0000179021,0.26952,0.000752752,-0.0000609758,-0.0648442,-0.00169107,0.0000000179811,0.0631532,-0.0000605072
1.7,1.57155,-0.0336729,0.240458,-0.0000179008,0.274131,0.000748334,-0.0000280638,-0.0298442,-0.000778305,0.0000000082757,0.0290659,-0.0000278481
1.78527,1.57155,-0.0349453,0.240425,-0.0000179004,0.27537,0.000747147,0,0,0,0,0,0
,,,,,,,,,,,,
,,,,,,,,,,,,
0,1.57155,-0.0349453,0.240425,-0.0000179004,0.27537,0.000747147,0,0,0,0,0,0
0.1,1.57155,-0.0331953,0.240471,-0.0000179014,0.273666,0.000748782,0.0000329474,0.035,0.000912204,-0.000000019597,-0.0340878,0.0000327066
0.2,1.57156,-0.0279453,0.240608,-0.0000179044,0.268553,0.000753688,0.0000658947,0.07,0.00182441,-0.000000039194,-0.0681756,0.0000654131
0.3,1.57157,-0.0191953,0.240836,-0.0000179093,0.260031,0.000761865,0.0000988421,0.105,0.00273661,-0.000000058791,-0.102263,0.0000981197
0.4,1.57158,-0.00694527,0.241155,-0.0000179161,0.2481,0.000773312,0.000131789,0.14,0.00364881,-0.000000078388,-0.136351,0.000130826
0.5,1.57159,0.00880473,0.241565,-0.0000179249,0.232761,0.00078803,0.000164737,0.175,0.00456102,-0.000000097985,-0.170439,0.000163533
0.6,1.57161,0.0280547,0.242067,-0.0000179357,0.214012,0.000806019,0.000197684,0.21,0.00547322,-0.000000117582,-0.204527,0.000196239
0.7,1.57163,0.0508047,0.24266,-0.0000179484,0.191855,0.000827278,0.000230632,0.245,0.00638543,-0.000000137179,-0.238615,0.000228946
0.8,1.57166,0.0770547,0.243344,-0.0000179631,0.166289,0.000851808,0.000263579,0.28,0.00729763,-0.000000156776,-0.272702,0.000261653
0.9,1.57168,0.106786,0.244119,-0.0000179798,0.137333,0.000879591,0.000291666,0.309837,0.00807527,-0.000000173482,-0.301762,0.000289534
1,1.57171,0.136019,0.244881,-0.0000179962,0.108862,0.000906909,0.000258719,0.274837,0.00716307,-0.000000153885,-0.267674,0.000256828
1.1,1.57174,0.161753,0.245552,-0.0000180106,0.0837985,0.000930956,0.000225771,0.239837,0.00625086,-0.000000134288,-0.233586,0.000224121
1.2,1.57176,0.183987,0.246131,-0.000018023,0.0621443,0.000951733,0.000192824,0.204837,0.00533866,-0.000000114691,-0.199498,0.000191415
1.3,1.57177,0.20272,0.246619,-0.0000180335,0.0438989,0.000969239,0.000159877,0.169837,0.00442645,-0.0000000950941,-0.165411,0.000158708
1.4,1.57179,0.217954,0.247016,-0.000018042,0.0290622,0.000983475,0.000126929,0.134837,0.00351425,-0.0000000754971,-0.131323,0.000126002
1.5,1.5718,0.229688,0.247322,-0.0000180486,0.0176343,0.00099444,0.0000939819,0.099837,0.00260205,-0.0000000559001,-0.0972349,0.000093295
1.6,1.57181,0.237922,0.247537,-0.0000180532,0.00961523,0.00100213,0.0000610345,0.064837,0.00168984,-0.0000000363031,-0.0631471,0.0000605884
1.7,1.57181,0.242655,0.24766,-0.0000180559,0.00500491,0.00100656,0.0000280871,0.029837,0.00077764,-0.0000000167061,-0.0290593,0.0000278819
1.78525,1.57181,0.243927,0.247693,-0.0000180566,0.00376627,0.00100775,0,0,0,0,0,0
